Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
131.469: [GC (Allocation Failure) [PSYoungGen: 214339K->5120K(262144K)] 665428K->456209K(2059776K), 0.0018840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
132.787: [GC (Allocation Failure) [PSYoungGen: 183625K->26624K(262144K)] 634715K->477713K(2059776K), 0.0028043 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
134.107: [GC (Allocation Failure) [PSYoungGen: 235853K->27648K(262144K)] 686942K->478737K(2059776K), 0.0019552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
135.638: [GC (Allocation Failure) [PSYoungGen: 252242K->30720K(262144K)] 703332K->481809K(2059776K), 0.0023593 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
136.958: [GC (Allocation Failure) [PSYoungGen: 239959K->25600K(262144K)] 691048K->476689K(2059776K), 0.0024625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
138.278: [GC (Allocation Failure) [PSYoungGen: 245081K->35840K(262144K)] 696170K->502289K(2059776K), 0.0037566 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
140.029: [GC (Allocation Failure) [PSYoungGen: 234843K->5120K(262144K)] 701292K->522769K(2059776K), 0.0074266 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
141.363: [GC (Allocation Failure) [PSYoungGen: 183642K->30720K(262144K)] 701292K->650769K(2059776K), 0.0160862 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
143.906: [GC (Allocation Failure) [PSYoungGen: 250182K->6144K(262144K)] 870231K->626193K(2059776K), 0.0020994 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
145.225: [GC (Allocation Failure) [PSYoungGen: 230734K->21504K(262144K)] 850784K->641553K(2059776K), 0.0025610 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
146.984: [GC (Allocation Failure) [PSYoungGen: 246115K->10240K(262144K)] 866164K->630289K(2059776K), 0.0025669 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
148.305: [GC (Allocation Failure) [PSYoungGen: 229729K->35840K(262144K)] 849779K->655889K(2059776K), 0.0029202 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
149.615: [GC (Allocation Failure) [PSYoungGen: 255328K->35840K(262144K)] 875378K->707089K(2059776K), 0.0057268 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
151.145: [GC (Allocation Failure) [PSYoungGen: 260447K->15360K(262144K)] 931697K->686609K(2059776K), 0.0026516 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
152.456: [GC (Allocation Failure) [PSYoungGen: 234847K->16384K(262144K)] 906097K->687633K(2059776K), 0.0034349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
153.767: [GC (Allocation Failure) [PSYoungGen: 240976K->17408K(262144K)] 912226K->688657K(2059776K), 0.0027201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
155.741: [GC (Allocation Failure) [PSYoungGen: 160086K->15360K(262144K)] 831335K->737809K(2059776K), 0.0050991 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
157.060: [GC (Allocation Failure) [PSYoungGen: 193871K->20480K(262144K)] 916321K->783889K(2059776K), 0.0046372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
158.484: [GC (Allocation Failure) [PSYoungGen: 214344K->20480K(262144K)] 977753K->783889K(2059776K), 0.0034074 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
159.798: [GC (Allocation Failure) [PSYoungGen: 229709K->15360K(262144K)] 993119K->829969K(2059776K), 0.0057776 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
161.117: [GC (Allocation Failure) [PSYoungGen: 234835K->20480K(262144K)] 1049444K->937489K(2059776K), 0.0156645 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
162.667: [GC (Allocation Failure) [PSYoungGen: 239959K->15360K(262144K)] 1156968K->932369K(2059776K), 0.0035938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
163.985: [GC (Allocation Failure) [PSYoungGen: 234841K->26624K(262144K)] 1151851K->943633K(2059776K), 0.0034217 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
165.304: [GC (Allocation Failure) [PSYoungGen: 246100K->26624K(262144K)] 1163109K->943633K(2059776K), 0.0044601 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
167.174: [GC (Allocation Failure) [PSYoungGen: 174423K->25600K(262144K)] 1091433K->993809K(2059776K), 0.0056151 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
168.483: [GC (Allocation Failure) [PSYoungGen: 204113K->30720K(262144K)] 1172323K->1019409K(2059776K), 0.0041533 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
169.905: [GC (Allocation Failure) [PSYoungGen: 209216K->5120K(262144K)] 1197906K->993809K(2059776K), 0.0044673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
171.221: [GC (Allocation Failure) [PSYoungGen: 214343K->15360K(262144K)] 1203032K->1106449K(2059776K), 0.0156157 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
172.549: [GC (Allocation Failure) [PSYoungGen: 234830K->21504K(262144K)] 1325920K->1112593K(2059776K), 0.0044164 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
174.093: [GC (Allocation Failure) [PSYoungGen: 235860K->20480K(262144K)] 1326950K->1111569K(2059776K), 0.0042034 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
175.420: [GC (Allocation Failure) [PSYoungGen: 239959K->25600K(262144K)] 1331049K->1116689K(2059776K), 0.0042860 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
176.741: [GC (Allocation Failure) [PSYoungGen: 245082K->35840K(262144K)] 1336171K->1126929K(2059776K), 0.0040157 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
178.598: [GC (Allocation Failure) [PSYoungGen: 199003K->5120K(262144K)] 1290093K->1198609K(2059776K), 0.0062219 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
179.928: [GC (Allocation Failure) [PSYoungGen: 183638K->30720K(262144K)] 1377128K->1224209K(2059776K), 0.0052938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
181.457: [GC (Allocation Failure) [PSYoungGen: 214339K->5120K(262144K)] 1407829K->1198609K(2059776K), 0.0051267 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
182.791: [GC (Allocation Failure) [PSYoungGen: 183625K->26624K(262144K)] 1377115K->1220113K(2059776K), 0.0044716 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
184.110: [GC (Allocation Failure) [PSYoungGen: 235853K->27648K(262144K)] 1429343K->1221137K(2059776K), 0.0054110 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
185.649: [GC (Allocation Failure) [PSYoungGen: 252242K->30720K(262144K)] 1445732K->1224209K(2059776K), 0.0045335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
