Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
51.357: [GC (Allocation Failure) [PSYoungGen: 46766K->5120K(69632K)] 949934K->908288K(1013760K), 0.0018821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.358: [GC (Allocation Failure) [PSYoungGen: 5120K->5120K(69632K)] 908288K->908288K(1013760K), 0.0018105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.360: [Full GC (Allocation Failure) [PSYoungGen: 5120K->0K(69632K)] [ParOldGen: 903168K->56849K(944128K)] 908288K->56849K(1013760K), [Metaspace: 2795K->2795K(1056768K)], 0.0060052 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
52.354: [GC (Allocation Failure) [PSYoungGen: 33457K->11264K(69632K)] 192707K->170513K(1013760K), 0.0008828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.337: [GC (Allocation Failure) [PSYoungGen: 44724K->12288K(69632K)] 378053K->345617K(1013760K), 0.0011312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.539: [GC (Allocation Failure) [PSYoungGen: 44725K->1024K(69632K)] 378055K->334353K(1013760K), 0.0008060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.194: [GC (Allocation Failure) [PSYoungGen: 32433K->10240K(69632K)] 365762K->343569K(1013760K), 0.0010803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.176: [GC (Allocation Failure) [PSYoungGen: 43694K->25600K(69632K)] 551104K->533009K(1013760K), 0.0020589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.723: [GC (Allocation Failure) [PSYoungGen: 57010K->30720K(69632K)] 564419K->538129K(1013760K), 0.0023320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.378: [GC (Allocation Failure) [PSYoungGen: 64174K->31744K(69632K)] 725184K->702993K(1013760K), 0.0031894 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.121: [GC (Allocation Failure) [PSYoungGen: 65202K->5120K(69632K)] 910531K->850449K(1013760K), 0.0015154 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.557: [GC (Allocation Failure) [PSYoungGen: 31412K->15360K(69632K)] 876741K->860689K(1013760K), 0.0017841 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.886: [GC (Allocation Failure) [PSYoungGen: 46767K->5120K(69632K)] 943296K->901649K(1013760K), 0.0019469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.888: [GC (Allocation Failure) [PSYoungGen: 5120K->5120K(69632K)] 901649K->901649K(1013760K), 0.0019636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.890: [Full GC (Allocation Failure) [PSYoungGen: 5120K->0K(69632K)] [ParOldGen: 896529K->108049K(944128K)] 901649K->108049K(1013760K), [Metaspace: 2796K->2796K(1056768K)], 0.0095234 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
60.881: [GC (Allocation Failure) [PSYoungGen: 33458K->10240K(69632K)] 243908K->220689K(1013760K), 0.0011574 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.301: [GC (Allocation Failure) [PSYoungGen: 42676K->10240K(69632K)] 427206K->394769K(1013760K), 0.0010651 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.279: [GC (Allocation Failure) [PSYoungGen: 43701K->11264K(69632K)] 602311K->569873K(1013760K), 0.0012529 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.824: [GC (Allocation Failure) [PSYoungGen: 42678K->26624K(69632K)] 601288K->585233K(1013760K), 0.0018273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.478: [GC (Allocation Failure) [PSYoungGen: 60082K->17408K(69632K)] 772291K->729617K(1013760K), 0.0017005 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
